sentence_id,book,parution,start_pdf_page,end_pdf_page,text,mot_detecte
25,1.0,1988.0,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Buenos
25,1.0,1988.0,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Aires
26,1.0,1988.0,6,8,"Dans les bureaux situés sous la passerelle de commandement, les spécialistes attendaient impatiemment la mise à jour des rapports de l’équipe de l’Expédition d’",Expédition
30,1.0,1988.0,6,8,"Le long voyage jusqu’au secteur du Sagittaire s’était passé sans encombre, dans une monotonie rompue une seule fois par l’émotion due à la découverte du nuage d’Oort entourant le système de Rukbat.",Sagittaire
31,1.0,1988.0,6,8,"Ce phénomène avait continué à passionner les scientifiques et les techniciens, mais Paul Benden s’en était désintéressé quand Ezra Keroon, capitaine du Bahrain et astronome de l’expédition, lui eut assuré que ce n’était rien de plus qu’une curiosité astronomique.",Bahrain
54,1.0,1988.0,9,11,"Il lui sourit, sachant qu’il avait été aussi difficile pour elle que pour lui de repousser les avances des technocrates gênés de perdre deux héros aussi charismatiques : l’amiral, vainqueur de la bataille spatiale de Cygnus, et l’héroïque gouverneur de Centauri Un.",Cygnus
54,1.0,1988.0,9,11,"Il lui sourit, sachant qu’il avait été aussi difficile pour elle que pour lui de repousser les avances des technocrates gênés de perdre deux héros aussi charismatiques : l’amiral, vainqueur de la bataille spatiale de Cygnus, et l’héroïque gouverneur de Centauri Un.",Centauri
54,1.0,1988.0,9,11,"Il lui sourit, sachant qu’il avait été aussi difficile pour elle que pour lui de repousser les avances des technocrates gênés de perdre deux héros aussi charismatiques : l’amiral, vainqueur de la bataille spatiale de Cygnus, et l’héroïque gouverneur de Centauri Un.",Un
65,1.0,1988.0,9,11,La plupart des deux mille neuf cents colons du Yokohama avaient passé tout le voyage en animation suspendue.,Yokohama
68,1.0,1988.0,9,11,"Emily Boll avait été réveillée peu avant les autres spécialistes de l’environnement, qui avaient passé leur temps à critiquer la superficialité des rapports de l’Expédition d’Exploration et d’Évaluation.",Expédition
68,1.0,1988.0,9,11,"Emily Boll avait été réveillée peu avant les autres spécialistes de l’environnement, qui avaient passé leur temps à critiquer la superficialité des rapports de l’Expédition d’Exploration et d’Évaluation.",Exploration
68,1.0,1988.0,9,11,"Emily Boll avait été réveillée peu avant les autres spécialistes de l’environnement, qui avaient passé leur temps à critiquer la superficialité des rapports de l’Expédition d’Exploration et d’Évaluation.",Évaluation
74,1.0,1988.0,9,11,"Emily se rappelait sa maigreur décharnée à la cérémonie officielle commémorant sa brillante victoire de Cygnus, où lui et la Flotte du secteur Pourpre avaient renversé l’issue de la guerre contre les Nathis.",Cygnus
74,1.0,1988.0,9,11,"Emily se rappelait sa maigreur décharnée à la cérémonie officielle commémorant sa brillante victoire de Cygnus, où lui et la Flotte du secteur Pourpre avaient renversé l’issue de la guerre contre les Nathis.",Flotte
74,1.0,1988.0,9,11,"Emily se rappelait sa maigreur décharnée à la cérémonie officielle commémorant sa brillante victoire de Cygnus, où lui et la Flotte du secteur Pourpre avaient renversé l’issue de la guerre contre les Nathis.",Pourpre
74,1.0,1988.0,9,11,"Emily se rappelait sa maigreur décharnée à la cérémonie officielle commémorant sa brillante victoire de Cygnus, où lui et la Flotte du secteur Pourpre avaient renversé l’issue de la guerre contre les Nathis.",Nathis
77,1.0,1988.0,9,11,Elle avait fait elle-même quelque chose d’approchant au plus fort de l’attaque des Nathis contre sa planète.,Nathis
81,1.0,1988.0,9,11,"Quatorze ans de sommeil semblaient l’avoir guérie de sa terrible fatigue, conséquence obligée de sa défense de Centauri Un.",Centauri
81,1.0,1988.0,9,11,"Quatorze ans de sommeil semblaient l’avoir guérie de sa terrible fatigue, conséquence obligée de sa défense de Centauri Un.",Un
112,1.0,1988.0,12,12,"Paul lui avait dit que la femme, les enfants et toute la famille d’Ongola avaient été vaporisés quand les Nathis avaient attaqué leur colonie de service ;",Nathis
130,1.0,1988.0,13,13,"une plus grande variété de plantes, dont certaines comestibles pour l’homme, de bonnes terres arables, des mouillages sûrs pour les solides bateaux de pêche en siliplex transportés en pièces détachées dans les cales du Buenos Aires et du Bahrain.",Buenos
130,1.0,1988.0,13,13,"une plus grande variété de plantes, dont certaines comestibles pour l’homme, de bonnes terres arables, des mouillages sûrs pour les solides bateaux de pêche en siliplex transportés en pièces détachées dans les cales du Buenos Aires et du Bahrain.",Aires
130,1.0,1988.0,13,13,"une plus grande variété de plantes, dont certaines comestibles pour l’homme, de bonnes terres arables, des mouillages sûrs pour les solides bateaux de pêche en siliplex transportés en pièces détachées dans les cales du Buenos Aires et du Bahrain.",Bahrain
133,1.0,1988.0,13,13,"Les caissons congélateurs du Bahrain contenaient vingt-cinq dauphins, qui s’étaient portés volontaires pour le voyage.",Bahrain
136,1.0,1988.0,13,13,L’une des premières tâches des agronomes serait de semer des plantes fourragères pour les différents herbivores et ruminants amenés de la Terre sous forme d’ovules congelés pris dans les Banques de Reproduction Animale de Terra.,Banques
136,1.0,1988.0,13,13,L’une des premières tâches des agronomes serait de semer des plantes fourragères pour les différents herbivores et ruminants amenés de la Terre sous forme d’ovules congelés pris dans les Banques de Reproduction Animale de Terra.,Reproduction
136,1.0,1988.0,13,13,L’une des premières tâches des agronomes serait de semer des plantes fourragères pour les différents herbivores et ruminants amenés de la Terre sous forme d’ovules congelés pris dans les Banques de Reproduction Animale de Terra.,Animale
136,1.0,1988.0,13,13,L’une des premières tâches des agronomes serait de semer des plantes fourragères pour les différents herbivores et ruminants amenés de la Terre sous forme d’ovules congelés pris dans les Banques de Reproduction Animale de Terra.,Terra
137,1.0,1988.0,13,13,"Afin d’assurer l’adaptabilité des animaux terriens sur Pern, les colons avaient difficilement obtenu l’autorisation d’utiliser certaines techniques biogénétiques des Eridanis",Eridanis
139,1.0,1988.0,13,13,"Bien que Pern se trouvât dans un secteur isolé de la galaxie, les Planètes Intelligentes Fédérées voulaient éviter de nouveaux désastres biologiques, tels que ceux qui avaient provoqué la formation du groupe pour la Défense d’une Lignée Humaine Pure.",Défense
139,1.0,1988.0,13,13,"Bien que Pern se trouvât dans un secteur isolé de la galaxie, les Planètes Intelligentes Fédérées voulaient éviter de nouveaux désastres biologiques, tels que ceux qui avaient provoqué la formation du groupe pour la Défense d’une Lignée Humaine Pure.",Lignée
139,1.0,1988.0,13,13,"Bien que Pern se trouvât dans un secteur isolé de la galaxie, les Planètes Intelligentes Fédérées voulaient éviter de nouveaux désastres biologiques, tels que ceux qui avaient provoqué la formation du groupe pour la Défense d’une Lignée Humaine Pure.",Humaine
139,1.0,1988.0,13,13,"Bien que Pern se trouvât dans un secteur isolé de la galaxie, les Planètes Intelligentes Fédérées voulaient éviter de nouveaux désastres biologiques, tels que ceux qui avaient provoqué la formation du groupe pour la Défense d’une Lignée Humaine Pure.",Pure
306,1.0,1988.0,14,19,"S’asseyant à son poste de travail, Emily s’émerveilla une fois de plus de la chance qu’avait l’expédition de posséder la plus grande généticienne des Planètes Intelligentes Fédérées – le seul être humain jamais formé par les Eridanis.",Eridanis
320,1.0,1988.0,14,19,"Et je serais plus tranquille si je pouvais avoir l’avis de ce génial géologue, Tarzan…",Tarzan
346,1.0,1988.0,20,21,"Pour organiser le débarquement, Paul avait choisi Fulmar Stone, pilote qui avait servi avec lui pendant toute la campagne de Cygnus.",Cygnus
361,1.0,1988.0,20,21,"Ezra et Jim, capitaines du Bahrain et du Buenos Aires, étaient tout aussi sûrs de leur personnel de débarquement, mais le moindre pépin pouvait provoquer d’innombrables changements de programme.",Bahrain
361,1.0,1988.0,20,21,"Ezra et Jim, capitaines du Bahrain et du Buenos Aires, étaient tout aussi sûrs de leur personnel de débarquement, mais le moindre pépin pouvait provoquer d’innombrables changements de programme.",Buenos
361,1.0,1988.0,20,21,"Ezra et Jim, capitaines du Bahrain et du Buenos Aires, étaient tout aussi sûrs de leur personnel de débarquement, mais le moindre pépin pouvait provoquer d’innombrables changements de programme.",Aires
402,1.0,1988.0,23,23,"Pendant toute la guerre de Nathi, l’impertinence de Joël avait amusé Paul Benden en un temps où les occasions de rire étaient rares, mais son humour avait toujours fait feu de tout bois.",Nathi
565,1.0,1988.0,27,28,"À seize ans, le service militaire étant obligatoire durant la guerre acharnée contre Nathi, elle avait choisi de devenir pilote, avec études supplémentaires des techniques de surveillance et d’utilisation des sondes.",Nathi
702,1.0,1988.0,31,32,"Pour éviter les coursives encombrées, elle prit le puits d’urgence pour rejoindre le pont d’envol, puis, se faufilant entre toutes les caisses arrimées, elle rejoignit le canot amiral, le Mariposa.",Mariposa
768,1.0,1988.0,33,37,"Allons, Kenjo, nous ne sommes en guerre avec personne, si loin du Centre.",Centre
770,1.0,1988.0,33,37,"Elle parlait avec douceur, sachant que Kenjo avait plusieurs fois frôlé la mort pendant la guerre de Nathi.",Nathi
781,1.0,1988.0,33,37,"Il y avait six navettes en tout : trois dans le Yoko, deux dans le Buenos Aires et une sur le Bahrain, qui était équipé d’installations pour le transport du bétail.",Buenos
781,1.0,1988.0,33,37,"Il y avait six navettes en tout : trois dans le Yoko, deux dans le Buenos Aires et une sur le Bahrain, qui était équipé d’installations pour le transport du bétail.",Aires
781,1.0,1988.0,33,37,"Il y avait six navettes en tout : trois dans le Yoko, deux dans le Buenos Aires et une sur le Bahrain, qui était équipé d’installations pour le transport du bétail.",Bahrain
794,1.0,1988.0,33,37,"Au même instant, le même rapport leur parvint du Buenos Aires et du Bahrain, et, l’air soulagé et jubilant, tout le monde éclata en acclamations.",Buenos
794,1.0,1988.0,33,37,"Au même instant, le même rapport leur parvint du Buenos Aires et du Bahrain, et, l’air soulagé et jubilant, tout le monde éclata en acclamations.",Aires
794,1.0,1988.0,33,37,"Au même instant, le même rapport leur parvint du Buenos Aires et du Bahrain, et, l’air soulagé et jubilant, tout le monde éclata en acclamations.",Bahrain
896,1.0,1988.0,39,40,"Malgré ses quinze ans d’inactivité, la navette Eujisan fonctionnait parfaitement.",Eujisan
898,1.0,1988.0,39,40,"De tous temps, Kenjo avait envisagé toutes les contingences, ce qui en avait fait l’un des meilleurs pilotes de transport de la Flotte du secteur de Cygnus, bien que les rares urgences auxquelles il ait dû faire face aient toujours été impossibles à prévoir.",Flotte
898,1.0,1988.0,39,40,"De tous temps, Kenjo avait envisagé toutes les contingences, ce qui en avait fait l’un des meilleurs pilotes de transport de la Flotte du secteur de Cygnus, bien que les rares urgences auxquelles il ait dû faire face aient toujours été impossibles à prévoir.",Cygnus
940,1.0,1988.0,41,43,"La navette Eujisan, avec Kenjo aux commandes et l’amiral Benden et le gouverneur Boll à bord, serait la première à toucher le sol de Pern.",Eujisan
942,1.0,1988.0,41,43,"Repérant un stratovolcan parfait pointant hors de l’eau, Kenjo faillit se déconcentrer : sa ressemblance avec le fameux Fuji-Yama était incroyable.",Fuji-Yama
1037,1.0,1988.0,44,46,"Malgré tout, la gorge de Sallah se serra devant la dernière image, qui lui rappela les chasses qu’elle faisait avec ses parents dans les collines de Centauri Un.",Centauri
1037,1.0,1988.0,44,46,"Malgré tout, la gorge de Sallah se serra devant la dernière image, qui lui rappela les chasses qu’elle faisait avec ses parents dans les collines de Centauri Un.",Un
1045,1.0,1988.0,44,46,"Certains entonnèrent une partie d’accompagnement, et Sallah se rappela que ce chant s’appelait Là-haut sur la montagne.",Là-haut
1070,1.0,1988.0,47,48,"Barr comme Sallah, huit heures après, roulait jusqu’au bout de la piste pour mettre l’Eujisan en position de décollage.",Eujisan
1082,1.0,1988.0,47,48,Elle remarqua que Kenjo supervisait généralement le ravitaillement et les révisions de l’Eujisan toutes les cinquante heures.,Eujisan
1091,1.0,1988.0,47,48,"Un plaisantin avait érigé des panneaux de circulation, indiquant la distance, en annéeslumière, les séparant de la Terre, de Centauri Un et des planètes natales des autres colons.",Centauri
1091,1.0,1988.0,47,48,"Un plaisantin avait érigé des panneaux de circulation, indiquant la distance, en annéeslumière, les séparant de la Terre, de Centauri Un et des planètes natales des autres colons.",Un
1106,1.0,1988.0,47,48,"Même dans leur ferme de Clonmel, et sous la garde vigilante de son chien Chip, il fallait qu’elle soit toujours en vue d’un adulte.",Clonmel
1106,1.0,1988.0,47,48,"Même dans leur ferme de Clonmel, et sous la garde vigilante de son chien Chip, il fallait qu’elle soit toujours en vue d’un adulte.",Chip
1107,1.0,1988.0,47,48,"Sur le Yokohama, non seulement on ne la surveillait pas, mais tout le vaisseau lui était ouvert, sauf la passerelle de commandement et la salle des machines.",Yokohama
1152,1.0,1988.0,49,49,"Moi, je viens de Clonmel.",Clonmel
1162,1.0,1988.0,50,51,C’était le meilleur de Clonmel.,Clonmel
1187,1.0,1988.0,50,51,Embarquement immédiat au pont Cinq.,Cinq
1206,1.0,1988.0,50,51,"Bien sûr, la moitié des adultes pleuraient en regardant Terra pour la dernière fois, ajouta-t-elle, condescendante",Terra
1211,1.0,1988.0,50,51,Tu n’as jamais vu Les Aventuriers de l’espace ?,Les
1211,1.0,1988.0,50,51,Tu n’as jamais vu Les Aventuriers de l’espace ?,Aventuriers
1239,1.0,1988.0,52,53,"Les instruments délicats suivirent, soigneusement emballés dans des cocons à l’épreuve des chocs, avec le sperme et les ovules fertilisés et congelés venant de la Terre et de Centauri Un.",Centauri
1239,1.0,1988.0,52,53,"Les instruments délicats suivirent, soigneusement emballés dans des cocons à l’épreuve des chocs, avec le sperme et les ovules fertilisés et congelés venant de la Terre et de Centauri Un.",Un
1391,1.0,1988.0,56,57,"Vous serez dans la maison Quatorze, place de l’Asie.",Quatorze
1391,1.0,1988.0,56,57,"Vous serez dans la maison Quatorze, place de l’Asie.",Asie
1420,1.0,1988.0,56,57,"Je crois, ajouta-t-elle après un instant de réflexion, que je vérifierai les réservoirs pendant le prochain vol de Fusi.",Fusi
1435,1.0,1988.0,58,58,"Vérifiant la distance les séparant du système le plus proche, interdit cent ans plus tôt par l’EEE, et la distance jusqu’au système habitable le plus voisin, et calculant l’autonomie et la vitesse du canot amiral, Sallah arriva à la conclusion suivante : même en utilisant le carburant au mieux, le Mariposa ne pourrait atteindre que le système inhabitable.",Mariposa
1447,1.0,1988.0,59,59,"C’est un système qui a bien fonctionné sur la vieille Terre, qui a bien marché sur Centauri Un, et qui convient particulièrement bien à notre colonie pastorale.",Centauri
1447,1.0,1988.0,59,59,"C’est un système qui a bien fonctionné sur la vieille Terre, qui a bien marché sur Centauri Un, et qui convient particulièrement bien à notre colonie pastorale.",Un
1457,1.0,1988.0,60,60,"— La Charte leur permet de choisir les premiers, c’est vrai.",Charte
1467,1.0,1988.0,60,60,"La première classe du matin se termina par des instructions sur la façon d’obtenir à l’Intendance tout ce qu’il leur fallait, depuis les bonbons, strictement rationnés, jusqu’aux bottes et aux vêtements.",Intendance
1471,1.0,1988.0,60,60,Les enfants allèrent manger un déjeuner préparé dans les cuisines communautaires dressées près de la place du Feu de Joie.,Feu
1471,1.0,1988.0,60,60,Les enfants allèrent manger un déjeuner préparé dans les cuisines communautaires dressées près de la place du Feu de Joie.,Joie
1499,1.0,1988.0,61,61,"— Du Kansas, répliqua Chung.",Kansas
1502,1.0,1988.0,61,61,"— Bordé par les États suivants : Missouri à l’est, Oklahoma au sud, Colorado à l’ouest et Nebraska au nord, répliqua Sorka avec une assurance souveraine.",États
1502,1.0,1988.0,61,61,"— Bordé par les États suivants : Missouri à l’est, Oklahoma au sud, Colorado à l’ouest et Nebraska au nord, répliqua Sorka avec une assurance souveraine.",Missouri
1502,1.0,1988.0,61,61,"— Bordé par les États suivants : Missouri à l’est, Oklahoma au sud, Colorado à l’ouest et Nebraska au nord, répliqua Sorka avec une assurance souveraine.",Oklahoma
1502,1.0,1988.0,61,61,"— Bordé par les États suivants : Missouri à l’est, Oklahoma au sud, Colorado à l’ouest et Nebraska au nord, répliqua Sorka avec une assurance souveraine.",Colorado
1502,1.0,1988.0,61,61,"— Bordé par les États suivants : Missouri à l’est, Oklahoma au sud, Colorado à l’ouest et Nebraska au nord, répliqua Sorka avec une assurance souveraine.",Nebraska
1535,1.0,1988.0,62,62,"En tombant dans un trou, une fille de la place de l’Asie avait découvert une série de grottes au sud et à l’est du Terminus.",Asie
1642,1.0,1988.0,66,66,Tu peux avoir tout ce que tu veux à l’Intendance.,Intendance
1662,1.0,1988.0,66,66,"Tu vas au bâtiment de l’Intendance, au Terminus.",Intendance
1665,1.0,1988.0,66,66,"Ça s’appelle une réquisition, et tout le monde, hommes, femmes et enfants, a le droit de réquisitionner ce qu’il veut à l’Intendance.",Intendance
1670,1.0,1988.0,66,66,"— Comme tu m’as dit sur le vaisseau… (Il sourit soudain, d’un sourire plein de charme et de malice.",Il
1685,1.0,1988.0,67,68,— Bien sûr. On ne pouvait pas nettoyer des étables et des écuries pendant quinze ans.,On
1696,1.0,1988.0,67,68,Mon père s’entendait bien avec les nomades à Clonmel.,Clonmel
1723,1.0,1988.0,67,68,Sallah pilotait l’Eujisan avec l’équipe de relève pour le Yoko.,Eujisan
1728,1.0,1988.0,67,68,"Quand Sallah ouvrit le sas sur le pont d’atterrissage du Yoko, elle faillit être renversée par les colons impatients de monter à bord de l’Eujisan pour leur premier séjour dans leur nouvelle patrie.",Eujisan
1741,1.0,1988.0,67,68,"— C’est Ivan le Terrible, dit Sallah.",Terrible
1749,1.0,1988.0,67,68,Qu’est-ce que c’est qu’un Alaskan ?,Alaskan
1750,1.0,1988.0,69,71,"— Tu es vraiment d’une ignorance crasse, Boris, même pour un Centaurien de deuxième génération.",Centaurien
1752,1.0,1988.0,69,71,Les Alaskans avaient la réputation de ne rien jeter.,Alaskans
1754,1.0,1988.0,69,71,"C’était peut-être un trait génétique, parce qu’il avait été élevé sur Centauri Un, mais ses parents étaient alaskans, dit Sallah avec un soupir.",Centauri
1754,1.0,1988.0,69,71,"C’était peut-être un trait génétique, parce qu’il avait été élevé sur Centauri Un, mais ses parents étaient alaskans, dit Sallah avec un soupir.",Un
1759,1.0,1988.0,69,71,Augias nettoyées par Hercule,Hercule
1770,1.0,1988.0,69,71,Vaillante héroïne de la défense de Cygnus 111,Cygnus
1771,1.0,1988.0,69,71,", elle abordait sa onzième décennie en pleine santé et faisait le voyage sur le Buenos Aires avec ses arrière-petits-enfants ;",Buenos
1771,1.0,1988.0,69,71,", elle abordait sa onzième décennie en pleine santé et faisait le voyage sur le Buenos Aires avec ses arrière-petits-enfants ;",Aires
1788,1.0,1988.0,69,71,"Avril Bitra et Bart Lemos étaient à l’unité Survie, Nabhi Nabol au Ravitaillement.",Survie
1788,1.0,1988.0,69,71,"Avril Bitra et Bart Lemos étaient à l’unité Survie, Nabhi Nabol au Ravitaillement.",Ravitaillement
1804,1.0,1988.0,69,71,"Nabol se renseignait sur les pièces détachées déjà déchargées, avec leur rangement exact à l’Intendance.",Intendance
1817,1.0,1988.0,69,71,"Avril s’intéressait à ces planètes, même si elles étaient accessibles au Mariposa.",Mariposa
1833,1.0,1988.0,69,71,"Le Buenos Aires et le Bahrain, plus petits, devaient être carrément claustrophobiques.",Buenos
1833,1.0,1988.0,69,71,"Le Buenos Aires et le Bahrain, plus petits, devaient être carrément claustrophobiques.",Aires
1833,1.0,1988.0,69,71,"Le Buenos Aires et le Bahrain, plus petits, devaient être carrément claustrophobiques.",Bahrain
1939,1.0,1988.0,73,76,La facilité avec laquelle il l’avait obtenue à l’Intendance lui avait donné confiance en Sorka.,Intendance
1969,1.0,1988.0,73,76,"Elle voulait croire que les lézards volants avaient quelque chose d’exceptionnel, exactement comme elle avait toujours trouvé que Duke, leur chat tigré, était le meilleur chasseur de la vallée, et le vieux Chip, le meilleur chien de berger de Tipperary.",Chip
1969,1.0,1988.0,73,76,"Elle voulait croire que les lézards volants avaient quelque chose d’exceptionnel, exactement comme elle avait toujours trouvé que Duke, leur chat tigré, était le meilleur chasseur de la vallée, et le vieux Chip, le meilleur chien de berger de Tipperary.",Tipperary
2014,1.0,1988.0,77,77,Un gros moucheté a mordu un bébé de Sinead la nuit dernière.,Sinead
2020,1.0,1988.0,78,78,"À la résidence Quatorze de la place de l’Asie, Sorka et ses créatures furent accueillies avec beaucoup plus d’enthousiasme.",Quatorze
2020,1.0,1988.0,78,78,"À la résidence Quatorze de la place de l’Asie, Sorka et ses créatures furent accueillies avec beaucoup plus d’enthousiasme.",Asie
2058,1.0,1988.0,79,80,"— Il y a des maisons prévues pour eux place du Canada, lui rappela son père.",Canada
2106,1.0,1988.0,79,80,"Ça montre de quoi nous sommes capables, nous les Irlandais.",Irlandais
2107,1.0,1988.0,79,80,— Peter Oliver Plunkett Hanrahan !,Oliver
2107,1.0,1988.0,79,80,— Peter Oliver Plunkett Hanrahan !,Plunkett
2108,1.0,1988.0,79,80,"Commence à penser en Pernais, Pernais, Pernais, dit sa femme, élevant la voix à chaque répétition.",Pernais
2108,1.0,1988.0,79,80,"Commence à penser en Pernais, Pernais, Pernais, dit sa femme, élevant la voix à chaque répétition.",Pernais
2108,1.0,1988.0,79,80,"Commence à penser en Pernais, Pernais, Pernais, dit sa femme, élevant la voix à chaque répétition.",Pernais
2149,1.0,1988.0,81,81,"— Ainsi, les Amigs n’ont pas le monopole des capacités télékinétiques, dit Bay avec un sourire satisfait.",Amigs
2157,1.0,1988.0,82,82,Les Amigs se servent de la téléportation quand ils sont menacés.,Amigs
2180,1.0,1988.0,82,82,"Omnivores, c’est comme ça que le Dr Marceau les appelle.",Dr
2183,1.0,1988.0,82,82,Le Dr Nietro a essayé de radiographier Duke et m’a fait quitter la pièce.,Dr
2230,1.0,1988.0,84,84,"Il s’était joint à l’expédition de Pern parce que « le sang et les larmes de notre Mère la Terre », ainsi qu’il décrivait les produits de l’extraction minière, avaient tous été arrachés à son sein.",Mère
2231,1.0,1988.0,84,84,Il avait prospecté sur Centauri,Centauri
2288,1.0,1988.0,86,86,"— Nous avons tous signé la Charte, dit Valli, regardant autour d’elle pour voir si les autres étaient d’accord avec Svenda.",Charte
2299,1.0,1988.0,86,86,— Le travail peut commencer aux Mines et Raffineries du lac de Drake ?,Mines
2299,1.0,1988.0,86,86,— Le travail peut commencer aux Mines et Raffineries du lac de Drake ?,Raffineries
2322,1.0,1988.0,87,87,"Une semaine plus tôt, revenant un soir sur le Mariposa pour chercher une cassette laissée à bord lorsqu’elle avait piloté l’amiral Benden, elle avait vu Kenjo sortir par le petit sas de service à l’arrière, deux sacs dans chaque main.",Mariposa
2368,1.0,1988.0,89,91,— Mais tu as dit qu’il y avait aussi des gemmes dans la Grande Chaîne Occidentale.,Grande
2368,1.0,1988.0,89,91,— Mais tu as dit qu’il y avait aussi des gemmes dans la Grande Chaîne Occidentale.,Chaîne
2368,1.0,1988.0,89,91,— Mais tu as dit qu’il y avait aussi des gemmes dans la Grande Chaîne Occidentale.,Occidentale
2389,1.0,1988.0,89,91,"Le Rubis de Shavva faisait partie de la légende de Pern, tout comme la Pépite de Liu.",Rubis
2389,1.0,1988.0,89,91,"Le Rubis de Shavva faisait partie de la légende de Pern, tout comme la Pépite de Liu.",Pépite
2389,1.0,1988.0,89,91,"Le Rubis de Shavva faisait partie de la légende de Pern, tout comme la Pépite de Liu.",Liu
2395,1.0,1988.0,89,91,"Il restait du carburant dans le canot amiral, le Mariposa.",Mariposa
2436,1.0,1988.0,89,91,"d’exploration minière atterrit au Terminus, le brasier était déjà allumé sur la place du Feu de Joie et la fête commençait à s’animer.",Feu
2436,1.0,1988.0,89,91,"d’exploration minière atterrit au Terminus, le brasier était déjà allumé sur la place du Feu de Joie et la fête commençait à s’animer.",Joie
2448,1.0,1988.0,89,91,"Sallah posa son traîneau en travers de la piste, se disant que, si tout le monde l’imitait, le Mariposa, parqué à l’autre bout du champ, n’aurait pas la place de décoller.",Mariposa
2465,1.0,1988.0,89,91,"— Non, non, rectifia-t-il. J’informerai l’amiral et le gouverneur.",J’informerai
2500,1.0,1988.0,92,92,"Le temps qu’elle se lave, se change et gagne la place du Feu de Joie, la fête battait son plein et l’orchestre improvisé jouait une polka.",Feu
2500,1.0,1988.0,92,92,"Le temps qu’elle se lave, se change et gagne la place du Feu de Joie, la fête battait son plein et l’orchestre improvisé jouait une polka.",Joie
2503,1.0,1988.0,92,92,"Même Tarvi Andiyar sortit une flûte de Pan et joua une mélopée tranquille, qui changeait agréablement des airs endiablés.",Pan
2525,1.0,1988.0,93,94,"Les dresseurs de dauphins, sauf Gus qu’on laissa en arrière pour jouer de l’accordéon, allèrent au port conférer avec leurs mammifères marins.",Gus
2532,1.0,1988.0,95,97,"Après la fête de Thanksgiving, les colons retournèrent à leur routine.",Thanksgiving
2534,1.0,1988.0,95,97,"Comme Tarvi l’avait prévu, il avait traversé la mer Septentrionale, émoussant sa violence sur le promontoire oriental et la péninsule occidentale de la grande île et du continent Septentrional.",Septentrionale
2539,1.0,1988.0,95,97,"Mais, comme Teresa, le grand dauphin bleu, l’avait fait remarquer à Effram en couinements et sifflements indignés, ils avaient fait sonner et carillonner la cloche installée au bout de la jetée, et personne n’était venu.",Teresa
2541,1.0,1988.0,95,97,"— Pourquoi nous avoir dotés de mentacomm, avait demandé Teresa, si vous les humains ne venez pas écouter ce que nous avons à vous dire ? !",Teresa
2553,1.0,1988.0,95,97,"Joël Lilienkamp, le Directeur de l’Intendance, n’avait aucun problème à signaler, et il remerciait tous les colons, et spécialement les enfants, de lui apporter tant de produits comestibles.",Intendance
2585,1.0,1988.0,95,97,"Les Pompiers, bien entraînés par quelques débuts d’incendie, arrivèrent avec leurs lances et repoussèrent quelques wherries qui avaient échappé aux petits défenseurs.",Pompiers
2591,1.0,1988.0,95,97,"qu’ils ne soient pas plus grands, remarqua l’Amiral.",Amiral
